순번,근무형태구분,연월,주차,사번,이름,직급,소속사업장,소속부서명,월,화,수,목,금,토,일,주확정근무시간,평일확정근무시간,법정휴게시간,비업무_기타,비업무,비업무_중식
1,일반,2026-06,6월 3주차,10001,정가은,상무,판교R&D센터,소나개발팀,11.4,11.6,11.2,11.6,11.7,0.0,0.0,57.5,57.5,4.2,5.5,3.0,1.0
2,일반,2026-06,6월 3주차,10002,윤건우,상무,거제조선소,구매팀,9.7,9.8,10.6,9.9,9.8,0.0,0.0,49.8,49.8,4.2,0,4.6,1.0
3,일반,2026-06,6월 3주차,10003,김태윤,전문위원,거제조선소,해양SW2팀,10.3,10.7,11.1,11.1,11.1,0.0,0.0,54.3,54.3,4.7,2.3,4.6,1.0
4,근태예외자,2026-06,6월 3주차,10004,한하은,부사장,거제조선소,기구설계팀,10.7,9.7,10.3,10.2,10.9,0.0,0.0,51.8,51.8,5.0,0,3.9,1.0
5,일반,2026-06,6월 3주차,10005,송하은,부사장,판교R&D센터,기구설계팀,10.9,10.1,10.5,10.9,10.2,0.0,0.0,52.6,52.6,4.8,0.6,3.6,1.0
6,일반,2026-06,6월 3주차,10006,이윤서,부사장,판교R&D센터,품질팀,10.5,10.1,11.1,11.0,10.7,3.8,0.0,57.2,53.4,4.6,5.2,5.4,1.0
7,일반,2026-06,6월 3주차,10007,권동현,상무,성남사업장,해양SW2팀,11.4,10.6,10.5,11.3,11.2,0.0,0.0,55.0,55.0,4.3,3.0,3.6,1.0
8,일반,2026-06,6월 3주차,10008,홍도윤,부사장,판교R&D센터,해양SW2팀,10.1,11.5,12.0,10.8,11.5,0.0,0.0,55.9,55.9,4.9,3.9,4.0,1.0
9,일반,2026-06,6월 3주차,10009,홍성민,과장,거제조선소,해양SW1팀,11.6,11.6,11.0,11.2,11.0,0.0,0.0,56.4,56.4,3.7,4.4,3.9,1.0
10,일반,2026-06,6월 3주차,10010,한준서,차장,거제조선소,소나개발팀,12.1,11.4,12.3,11.2,11.6,0.0,0.0,58.6,58.6,4.1,6.6,1.9,1.0
11,일반,2026-06,6월 3주차,10011,홍우진,부장,거제조선소,품질팀,8.4,7.5,7.6,8.7,7.9,0.0,0.0,40.1,40.1,4.4,0,3.8,1.0
12,일반,2026-06,6월 3주차,10012,류준서,과장,판교R&D센터,기구설계팀,7.7,8.7,8.4,9.2,8.5,0.0,0.0,42.5,42.5,4.7,0,4.5,1.0
13,일반,2026-06,6월 3주차,10013,최지훈,사원,거제조선소,경영지원팀,8.9,8.0,7.7,8.1,8.0,0.0,0.0,40.7,40.7,4.7,0,6.2,1.0
14,일반,2026-06,6월 3주차,10014,권건우,대리,거제조선소,Smart Vessel사업팀,9.8,9.2,9.1,8.6,8.6,4.3,0.0,49.6,45.3,4.2,0,2.8,1.0
15,일반,2026-06,6월 3주차,10015,장태윤,부장,판교R&D센터,Smart Vessel사업팀,8.1,10.1,10.2,8.9,9.1,0.0,0.0,46.4,46.4,4.0,0,1.1,1.0
16,일반,2026-06,6월 3주차,10016,장건우,대리,거제조선소,경영지원팀,9.1,7.9,7.6,8.8,8.4,0.0,0.0,41.8,41.8,4.1,0,4.2,1.0
17,일반,2026-06,6월 3주차,10017,조지훈,사원,판교R&D센터,기구설계팀,8.8,8.7,9.1,8.9,8.1,2.2,0.0,45.8,43.6,4.8,0,3.8,1.0
18,일반,2026-06,6월 3주차,10018,최다인,부장,판교R&D센터,소나개발팀,9.5,9.2,9.6,10.3,10.0,0.0,0.0,48.6,48.6,3.9,0,3.2,1.0
19,탄력근무제,2026-06,6월 3주차,10019,박도윤,차장,거제조선소,해양SW2팀,9.4,8.2,8.7,8.6,9.6,0.0,0.0,44.5,44.5,4.0,0,3.5,1.0
20,일반,2026-06,6월 3주차,10020,송유진,부장,거제조선소,해양SW1팀,9.3,9.0,8.0,8.6,8.7,0.0,0.0,43.6,43.6,3.7,0,3.0,1.0
21,일반,2026-06,6월 3주차,10021,조성민,대리,성남사업장,해양SW2팀,8.8,8.4,8.1,9.2,8.8,0.0,0.0,43.3,43.3,4.6,0,3.8,1.0
22,일반,2026-06,6월 3주차,10022,윤소율,과장,성남사업장,경영지원팀,8.4,7.9,7.8,8.3,7.0,0.0,0.0,39.4,39.4,3.8,0,3.8,1.0
23,일반,2026-06,6월 3주차,10023,이소율,과장,거제조선소,해양SW2팀,8.2,8.1,8.8,8.4,8.4,0.0,0.0,41.9,41.9,4.8,0,2.0,1.0
24,일반,2026-06,6월 3주차,10024,송지훈,대리,거제조선소,해양SW2팀,9.3,8.8,9.4,8.4,9.6,0.0,0.0,45.5,45.5,3.8,0,4.2,1.0
25,탄력근무제,2026-06,6월 3주차,10025,조하은,과장,판교R&D센터,해양SW2팀,8.9,8.7,8.6,8.7,8.9,0.0,0.0,43.8,43.8,3.9,0,3.5,1.0
26,일반,2026-06,6월 3주차,10026,홍동현,대리,성남사업장,경영지원팀,8.8,7.9,7.3,7.3,8.2,0.0,0.0,39.5,39.5,3.6,0,3.8,1.0
27,일반,2026-06,6월 3주차,10027,권지훈,대리,거제조선소,Smart Vessel사업팀,10.4,8.7,9.5,9.6,8.6,0.0,0.0,46.8,46.8,4.0,0,1.6,1.0
28,탄력근무제,2026-06,6월 3주차,10028,송하은,사원,거제조선소,Smart Vessel사업팀,8.7,9.4,9.0,9.1,10.1,0.0,0.0,46.3,46.3,3.6,0,3.2,1.0
29,탄력근무제,2026-06,6월 3주차,10029,강다은,차장,성남사업장,Smart Vessel사업팀,9.2,9.1,9.6,9.4,9.9,0.0,0.0,47.2,47.2,4.7,0,1.4,1.0
30,일반,2026-06,6월 3주차,10030,서지민,대리,거제조선소,소나개발팀,9.9,9.4,10.4,10.4,9.4,0.0,0.0,49.5,49.5,4.0,0,3.0,1.0
31,일반,2026-06,6월 3주차,10031,이현우,대리,거제조선소,경영지원팀,7.8,8.1,8.8,8.1,7.7,0.0,0.0,40.5,40.5,3.8,0,3.6,1.0
32,일반,2026-06,6월 3주차,10032,안유진,대리,판교R&D센터,소나개발팀,9.4,9.5,8.4,9.3,9.2,0.0,2.6,48.4,45.8,3.5,0,2.0,1.0
