No.,구분,년월,주차,사번,이름,직급,사업장,부서명,월,화,수,목,금,토,일,주확정근무시간,평일확정근무시간,법정휴게시간,비업무_기타,비업무,비업무(중식)
1,선택적 근로시간제,202606,4주차(06월 22일~06월 28일),210903,마리오,S4(대리),구미,마리오팀,520,509,525,541,503,0,0,2598,2598,250,0,100,300
2,선택적 근로시간제,202607,1주차(07월 01일~07월 05일),210903,마리오,S4(대리),구미,마리오팀,534,506,523,537,503,0,0,2603,2603,250,0,150,300
3,선택적 근로시간제,202607,2주차(07월 06일~07월 12일),210903,마리오,S4(대리),구미,마리오팀,502,505,527,526,504,0,0,2564,2564,250,0,150,300
4,선택적 근로시간제,202607,3주차(07월 13일~07월 19일),210903,마리오,S4(대리),구미,마리오팀,505,535,527,503,536,0,0,2606,2606,250,0,100,300
5,선택적 근로시간제,202606,4주차(06월 22일~06월 28일),190512,루이지,S5(과장),거제,마리오팀,514,540,540,537,503,0,0,2634,2634,250,0,220,300
6,선택적 근로시간제,202607,1주차(07월 01일~07월 05일),190512,루이지,S5(과장),거제,마리오팀,503,514,502,535,508,0,0,2562,2562,250,0,180,300
7,선택적 근로시간제,202607,2주차(07월 06일~07월 12일),190512,루이지,S5(과장),거제,마리오팀,633,624,623,629,625,0,0,3134,3134,250,0,100,300
8,선택적 근로시간제,202607,3주차(07월 13일~07월 19일),190512,루이지,S5(과장),거제,마리오팀,626,631,623,622,621,0,0,3123,3123,250,0,150,300
9,탄력적 근로시간제,202606,4주차(06월 22일~06월 28일),220110,피치,S6(차장),판교,피치팀,531,543,534,527,549,0,0,2684,2684,250,0,200,300
10,탄력적 근로시간제,202607,1주차(07월 01일~07월 05일),220110,피치,S6(차장),판교,피치팀,634,634,631,629,627,0,0,3155,3155,250,0,120,300
11,탄력적 근로시간제,202607,2주차(07월 06일~07월 12일),220110,피치,S6(차장),판교,피치팀,627,622,629,636,635,0,0,3149,3149,250,0,200,300
12,탄력적 근로시간제,202607,3주차(07월 13일~07월 19일),220110,피치,S6(차장),판교,피치팀,634,629,622,623,636,0,0,3144,3144,250,0,220,300
13,탄력적 근로시간제,202606,4주차(06월 22일~06월 28일),190721,붐붐,S5(과장),판교,피치팀,625,630,624,635,633,0,0,3147,3147,250,0,80,300
14,탄력적 근로시간제,202607,1주차(07월 01일~07월 05일),190721,붐붐,S5(과장),판교,피치팀,622,630,630,631,635,0,0,3148,3148,250,0,250,300
15,탄력적 근로시간제,202607,2주차(07월 06일~07월 12일),190721,붐붐,S5(과장),판교,피치팀,622,622,628,635,622,0,0,3129,3129,250,0,80,300
16,탄력적 근로시간제,202607,3주차(07월 13일~07월 19일),190721,붐붐,S5(과장),판교,피치팀,546,544,519,541,536,0,0,2686,2686,250,0,250,300
17,선택적 근로시간제,202606,4주차(06월 22일~06월 28일),260701,쿠파,S4(대리),구미,쿠파팀,0,0,0,0,0,0,0,0,0,250,0,180,300
18,선택적 근로시간제,202607,1주차(07월 01일~07월 05일),260701,쿠파,S4(대리),구미,쿠파팀,545,524,542,522,501,0,0,2634,2634,250,0,250,300
19,선택적 근로시간제,202607,2주차(07월 06일~07월 12일),260701,쿠파,S4(대리),구미,쿠파팀,522,510,539,507,531,0,0,2609,2609,250,0,80,300
20,선택적 근로시간제,202607,3주차(07월 13일~07월 19일),260701,쿠파,S4(대리),구미,쿠파팀,513,549,518,508,547,0,0,2635,2635,250,0,150,300
21,선택적 근로시간제,202607,1주차(07월 01일~07월 05일),260703,요시,S3(사원),거제,요시팀,0,0,0,0,0,0,0,0,0,250,0,220,300
22,선택적 근로시간제,202607,2주차(07월 06일~07월 12일),260703,요시,S3(사원),거제,요시팀,0,0,0,0,0,0,0,0,0,250,0,220,300
23,선택적 근로시간제,202607,3주차(07월 13일~07월 19일),260703,요시,S3(사원),거제,요시팀,531,505,510,528,525,0,0,2599,2599,250,0,180,300
24,근태예외자,202606,4주차(06월 22일~06월 28일),200203,쿠파주니어,S6(차장),구미,쿠파팀,624,633,628,633,631,0,0,3149,3149,250,0,220,300
25,근태예외자,202607,1주차(07월 01일~07월 05일),200203,쿠파주니어,S6(차장),구미,쿠파팀,627,624,622,625,624,0,0,3122,3122,250,0,150,300
26,근태예외자,202607,2주차(07월 06일~07월 12일),200203,쿠파주니어,S6(차장),구미,쿠파팀,627,620,635,625,628,0,0,3135,3135,250,0,180,300
27,근태예외자,202607,3주차(07월 13일~07월 19일),200203,쿠파주니어,S6(차장),구미,쿠파팀,620,624,633,631,630,0,0,3138,3138,250,0,120,300
28,선택적 근로시간제,202607,3주차(07월 13일~07월 19일),150607,데이지,상무,판교,데이지팀,544,532,539,541,543,0,0,2699,2699,250,0,80,300
29,선택적 근로시간제,202607,3주차(07월 13일~07월 19일),140812,와리오,전무,구미,와리오팀,529,549,543,535,525,0,0,2681,2681,250,0,220,300
