No.,구분,년월,주차,사번,이름,직급,사업장,부서명,월,화,수,목,금,토,일,주확정근무시간,평일확정근무시간,법정휴게시간,비업무_기타,비업무,비업무(중식)
1,"선택적 근로시간제,탄력적 근로시간제",202606,2주차(06월 08일~06월 14일),00200000,홍재현,상무,거제,품질팀,523,675,430,532,431,0,113,2704,2591,180,0,52,300
2,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200001,류시온,상무,거제,전략기획팀,622,777,392,545,727,0,0,3063,3063,273,0,119,300
3,근태예외자,202606,2주차(06월 08일~06월 14일),00200002,최현우,부사장,구미,경영지원팀,661,638,394,527,506,0,0,2726,2726,264,0,141,300
4,근태예외자,202606,2주차(06월 08일~06월 14일),00200003,배동현,상무,구미,경영지원팀,511,272,506,499,612,0,0,2400,2400,188,0,113,300
5,근태예외자,202606,2주차(06월 08일~06월 14일),00200004,서지훈,상무,구미,구매팀,592,593,647,556,692,0,0,3080,3080,193,0,103,300
6,재량 근로시간제,202606,2주차(06월 08일~06월 14일),00200005,임현우,부사장,구미,품질팀,415,623,651,580,590,0,98,2957,2859,280,0,47,300
7,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200006,김가은,전무,판교,해양SW1팀,400,761,569,651,633,0,0,3015,3015,262,0,125,300
8,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200007,류시온,전무,거제,경영지원팀,569,433,811,629,677,0,0,3120,3120,266,0,30,300
9,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200008,서건우,상무,거제,구매팀,567,514,436,328,554,0,0,2400,2400,194,0,62,300
10,재량 근로시간제,202606,2주차(06월 08일~06월 14일),00200009,안서연,전문연구원,서울2,전략기획팀,783,385,665,669,515,0,0,3017,3017,190,0,158,300
11,"선택적 근로시간제,탄력적 근로시간제",202606,2주차(06월 08일~06월 14일),00200010,배재현,S6(차장),판교,해양SW1팀,614,719,514,586,616,0,0,3048,3048,251,0,152,300
12,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200011,윤소율,S7(부장),거제,구매팀,465,646,548,403,413,0,0,2474,2474,236,0,139,300
13,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200012,장은서,S6(차장),거제,경영지원팀,682,631,554,580,673,0,0,3120,3120,246,0,49,300
14,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200013,구하람,S6(차장),거제,기구설계팀,542,836,436,542,416,0,0,2773,2773,255,0,90,300
15,재량 근로시간제,202606,2주차(06월 08일~06월 14일),00200014,장민준,전문연구원,거제,구매팀,583,518,479,353,439,256,0,2627,2372,184,0,176,300
16,재량 근로시간제,202606,2주차(06월 08일~06월 14일),00200015,황가은,S3(사원),서울2,전략기획팀,406,637,892,538,427,0,0,2899,2899,277,0,52,300
17,재량 근로시간제,202606,2주차(06월 08일~06월 14일),00200016,안시온,책임연구원,판교,기구설계팀,551,632,431,361,425,0,0,2399,2399,198,0,33,300
18,"선택적 근로시간제,탄력적 근로시간제",202606,2주차(06월 08일~06월 14일),00200017,임동현,전문연구원,거제,R&D 1팀,466,742,610,529,403,270,0,3019,2749,201,0,175,300
19,재량 근로시간제,202606,2주차(06월 08일~06월 14일),00200018,장승우,S5(과장),거제,Smart Vessel사업팀,372,512,571,598,722,250,0,3025,2775,285,0,64,300
