No.,구분,년월,주차,사번,이름,직급,사업장,부서명,월,화,수,목,금,토,일,주확정근무시간,평일확정근무시간,법정휴게시간,비업무_기타,비업무,비업무(중식)
1,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100000,송소율,상무,거제,소나개발팀,535,473,489,530,527,0,0,2555,2555,232,0,136,300
2,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100001,류준서,부사장,거제,기구설계팀,534,523,587,499,545,0,0,2688,2688,227,0,84,300
3,근태예외자,202605,4주차(05월 25일~05월 31일),00100002,조하람,전무,거제,Smart Vessel사업팀,472,509,502,499,461,0,0,2444,2444,188,0,65,300
4,근태예외자,202605,4주차(05월 25일~05월 31일),00100003,권가은,부사장,거제,R&D 1팀,493,466,491,484,496,0,0,2431,2431,211,0,161,300
5,근태예외자,202605,4주차(05월 25일~05월 31일),00100004,류나윤,전무,판교,해양SW2팀,487,506,491,484,489,0,0,2458,2458,197,0,230,300
6,재량 근로시간제,202605,4주차(05월 25일~05월 31일),00100005,박소율,부사장,판교,경영지원팀,585,545,527,517,571,0,0,2744,2744,208,0,375,300
7,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100006,신도윤,부사장,구미,구매팀,484,506,506,508,477,0,0,2481,2481,212,0,289,300
8,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100007,한윤서,부사장,판교,Smart Vessel사업팀,550,506,489,468,496,0,0,2509,2509,231,0,183,300
9,탄력적 근로시간제,202605,4주차(05월 25일~05월 31일),00100008,박수아,부사장,거제,품질팀,511,542,533,528,533,0,0,2647,2647,254,0,146,300
10,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100009,배승우,전무,구미,Smart Vessel사업팀,485,500,511,496,518,0,0,2511,2511,217,0,136,300
11,모성보호대상자,202605,4주차(05월 25일~05월 31일),00100010,오시우,S4(대리),판교,구매팀,488,431,488,470,479,0,0,2358,2358,226,0,245,300
12,탄력적 근로시간제,202605,4주차(05월 25일~05월 31일),00100011,윤은서,S6(차장),구미,경영지원팀,547,536,524,554,523,0,0,2685,2685,195,0,339,300
13,탄력적 근로시간제,202605,4주차(05월 25일~05월 31일),00100012,정서윤,S5(과장),구미,경영지원팀,16,11,32,22,25,496,395,996,106,221,0,127,300
14,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100013,서우진,수석연구원,판교,기구설계팀,571,569,526,548,534,0,0,2748,2748,226,0,119,300
15,재량 근로시간제,202605,4주차(05월 25일~05월 31일),00100014,류예린,S3(사원),구미,해양SW1팀,540,517,582,550,531,0,0,2720,2720,284,0,171,300
16,모성보호대상자,202605,4주차(05월 25일~05월 31일),00100015,정하은,S4(대리),거제,해양SW1팀,537,542,532,533,519,0,0,2663,2663,217,0,160,300
17,모성보호대상자,202605,4주차(05월 25일~05월 31일),00100016,홍은서,수석연구원,구미,R&D 1팀,431,506,466,443,496,0,0,2342,2342,272,0,162,300
18,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100017,최민준,S3(사원),거제,해양SW2팀,444,485,468,474,466,0,0,2337,2337,214,0,267,300
19,"선택적 근로시간제,탄력적 근로시간제",202605,4주차(05월 25일~05월 31일),00100018,조태윤,S3(사원),서울2,Smart Vessel사업팀,480,476,499,508,484,0,0,2447,2447,198,0,95,300
20,탄력적 근로시간제,202605,4주차(05월 25일~05월 31일),00100019,황다인,S6(차장),거제,품질팀,536,518,534,490,514,0,0,2591,2591,220,0,148,300
21,근태예외자,202605,4주차(05월 25일~05월 31일),00100020,황시우,S5(과장),구미,Smart Vessel사업팀,484,496,517,476,505,0,0,2479,2479,268,0,161,300
22,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100021,송서연,S5(과장),서울2,해양SW2팀,474,493,443,503,502,0,0,2416,2416,188,0,195,300
23,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100022,장가은,S7(부장),서울2,기구설계팀,540,523,564,562,526,0,0,2714,2714,181,0,218,300
24,탄력적 근로시간제,202605,4주차(05월 25일~05월 31일),00100023,한우진,수석연구원,판교,품질팀,523,551,538,549,515,0,0,2676,2676,238,0,159,300
25,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100024,윤준서,S6(차장),판교,해양SW2팀,553,502,478,472,531,0,0,2536,2536,199,0,212,300
26,탄력적 근로시간제,202605,4주차(05월 25일~05월 31일),00100025,황건우,S5(과장),판교,품질팀,521,545,518,548,566,0,0,2699,2699,202,0,232,300
27,재량 근로시간제,202605,4주차(05월 25일~05월 31일),00100026,오가은,S3(사원),서울2,전략기획팀,521,501,540,563,512,0,0,2638,2638,290,0,205,300
28,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100027,전민준,S3(사원),구미,Smart Vessel사업팀,505,454,470,500,451,0,0,2380,2380,245,0,95,300
29,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100028,서준서,S5(과장),판교,품질팀,493,532,535,520,516,0,0,2596,2596,185,0,171,300
30,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100029,서다인,S5(과장),거제,해양SW1팀,574,551,550,577,512,0,0,2762,2762,217,0,183,300
31,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100030,정다인,S5(과장),판교,Smart Vessel사업팀,464,494,451,497,508,0,0,2413,2413,238,0,92,300
32,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100031,오하윤,전문연구원,거제,해양SW1팀,504,553,559,538,574,0,0,2728,2728,294,0,266,300
33,"선택적 근로시간제,탄력적 근로시간제",202605,4주차(05월 25일~05월 31일),00100032,최지민,S5(과장),구미,해양SW1팀,525,527,590,571,542,0,0,2755,2755,244,0,258,300
34,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100033,임채원,S5(과장),판교,해양SW2팀,464,449,518,492,479,0,0,2404,2404,191,0,256,300
35,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100034,오다인,S7(부장),구미,품질팀,493,502,484,509,505,0,0,2493,2493,253,0,90,300
36,재량 근로시간제,202605,4주차(05월 25일~05월 31일),00100035,송하윤,S6(차장),거제,R&D 1팀,506,499,509,481,496,0,0,2491,2491,210,0,230,300
37,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100036,정예린,S5(과장),판교,소나개발팀,491,520,545,535,546,0,0,2637,2637,274,0,166,300
38,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100037,안予진,S3(사원),판교,전략기획팀,538,565,524,562,553,0,0,2741,2741,307,0,193,300
39,탄력적 근로시간제,202605,4주차(05월 25일~05월 31일),00100038,이재현,전문연구원,판교,Smart Vessel사업팀,506,511,496,485,476,0,0,2475,2475,220,0,110,300
40,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100039,한준서,S5(과장),구미,R&D 1팀,501,524,476,520,476,0,0,2497,2497,202,0,203,300
41,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100040,윤건우,S7(부장),거제,경영지원팀,546,507,548,532,515,0,0,2649,2649,186,0,328,300
42,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100041,권동현,책임연구원,판교,해양SW2팀,502,433,461,516,510,0,0,2423,2423,205,0,215,300
43,재량 근로시간제,202605,4주차(05월 25일~05월 31일),00100042,최하윤,S3(사원),거제,해양SW2팀,467,471,488,479,482,0,0,2387,2387,271,0,220,300
44,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100043,윤재현,책임연구원,구미,품질팀,517,552,510,515,491,0,82,2666,2584,200,0,215,300
45,재량 근로시간제,202605,4주차(05월 25일~05월 31일),00100044,구서윤,S5(과장),구미,경영지원팀,540,532,556,578,527,0,0,2734,2734,292,0,269,300
46,재량 근로시간제,202605,4주차(05월 25일~05월 31일),00100045,오서연,선임연구원,구미,구매팀,454,467,469,467,490,0,0,2346,2346,186,0,160,300
47,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100046,전현우,S4(대리),거제,경영지원팀,484,521,497,529,546,0,0,2577,2577,241,0,364,300
48,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100047,최유진,S5(과장),구미,Smart Vessel사업팀,512,532,539,508,529,0,0,2620,2620,255,0,109,300
49,"선택적 근로시간제,탄력적 근로시간제",202605,4주차(05월 25일~05월 31일),00100048,신건우,S4(대리),서울2,소나개발팀,508,501,463,486,530,0,0,2488,2488,228,0,131,300
50,탄력적 근로시간제,202605,4주차(05월 25일~05월 31일),00100049,박수아,S5(과장),서울2,R&D 1팀,457,526,446,478,468,0,0,2374,2374,247,0,247,300
51,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100050,홍유진,S3(사원),거제,해양SW1팀,508,523,551,539,499,0,0,2620,2620,212,0,208,300
52,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100051,최다인,전문연구원,거제,Smart Vessel사업팀,550,487,488,503,466,0,0,2494,2494,220,0,85,300
53,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100052,이채원,S3(사원),거제,R&D 1팀,492,518,494,469,519,0,0,2492,2492,191,0,187,300
54,탄력적 근로시간제,202605,4주차(05월 25일~05월 31일),00100053,홍나윤,책임연구원,구미,해양SW1팀,527,557,533,539,510,0,0,2666,2666,244,0,311,300
55,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100054,오서연,S5(과장),구미,해양SW2팀,487,493,497,503,482,0,0,2462,2462,260,0,282,300
56,탄력적 근로시간제,202605,4주차(05월 25일~05월 31일),00100055,조予진,선임연구원,구미,소나개발팀,505,534,559,553,514,0,0,2665,2665,296,0,126,300
57,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100056,황은서,S4(대리),구미,경영지원팀,554,571,568,519,558,0,0,2770,2770,266,0,296,300
58,탄력적 근로시간제,202605,4주차(05월 25일~05월 31일),00100057,구지민,선임연구원,판교,기구설계팀,544,548,559,546,556,0,0,2753,2753,245,0,140,300
59,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100058,홍건우,S5(과장),서울2,품질팀,526,530,557,515,538,0,0,2666,2666,223,0,85,300
60,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100059,배현우,S5(과장),구미,소나개발팀,524,551,557,563,549,0,0,2744,2744,257,0,184,300
61,탄력적 근로시간제,202605,4주차(05월 25일~05월 31일),00100060,김건우,S6(차장),구미,기구설계팀,506,511,522,505,514,0,0,2557,2557,282,0,148,300
62,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100061,임다은,S4(대리),서울2,품질팀,479,514,548,531,514,160,0,2746,2586,282,0,130,300
63,"선택적 근로시간제,탄력적 근로시간제",202605,4주차(05월 25일~05월 31일),00100062,홍준서,S4(대리),구미,소나개발팀,503,538,503,501,503,0,0,2549,2549,204,0,133,300
64,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100063,류도윤,S4(대리),구미,소나개발팀,531,533,536,520,470,0,0,2591,2591,283,0,79,300
65,"선택적 근로시간제,탄력적 근로시간제",202605,4주차(05월 25일~05월 31일),00100064,안하윤,S5(과장),구미,기구설계팀,491,525,501,561,505,0,0,2582,2582,277,0,110,300
66,탄력적 근로시간제,202605,4주차(05월 25일~05월 31일),00100065,정현우,S6(차장),구미,전략기획팀,523,479,546,547,529,0,0,2624,2624,305,0,266,300
67,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100066,홍서윤,S7(부장),구미,해양SW1팀,558,577,542,566,570,0,0,2813,2813,311,0,216,300
68,탄력적 근로시간제,202605,4주차(05월 25일~05월 31일),00100067,김우진,S7(부장),구미,R&D 1팀,523,511,524,497,471,0,0,2527,2527,217,0,201,300
69,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100068,권하은,S3(사원),구미,소나개발팀,519,499,495,478,478,0,0,2469,2469,296,0,78,300
70,탄력적 근로시간제,202605,4주차(05월 25일~05월 31일),00100069,박유진,S6(차장),판교,R&D 1팀,493,493,472,535,425,0,0,2417,2417,195,0,212,300
71,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100070,장채원,S6(차장),판교,Smart Vessel사업팀,506,487,493,484,512,0,0,2483,2483,301,0,180,300
72,재량 근로시간제,202605,4주차(05월 25일~05월 31일),00100071,서지훈,S7(부장),구미,해양SW2팀,524,499,492,497,535,0,0,2548,2548,247,0,225,300
73,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100072,박하윤,S5(과장),판교,기구설계팀,542,542,560,538,548,0,0,2729,2729,236,0,132,300
74,탄력적 근로시간제,202605,4주차(05월 25일~05월 31일),00100073,황수아,S4(대리),거제,기구설계팀,513,545,553,510,521,0,0,2642,2642,301,0,129,300
75,선택적 근로시간제,202605,4주차(05월 25일~05월 31일),00100074,안현우,선임연구원,판교,Smart Vessel사업팀,550,491,499,482,510,0,0,2533,2533,247,0,104,300
76,탄력적 근로시간제,202605,4주차(05월 25일~05월 31일),00100075,임유진,S5(과장),판교,경영지원팀,566,547,552,536,517,0,0,2719,2719,271,0,414,300
